1343167655746875392 2020-12-27 20:11:38 +0800 <GrootKo> Frankrijk: Migrantenbende terroriseert gezinnen en berooft ze  https://t.co/kG6BnFfohb
1343167461219315712 2020-12-27 20:10:52 +0800 <GrootKo> Feynman en/of Feiten – Rutte's zwarte gat  https://t.co/Y8djTIjCRa
1343167250564571137 2020-12-27 20:10:02 +0800 <GrootKo> Schandalig! Pedante Jaap van Dissel wijt hoog dodenaantal in verpleeghuizen aan laag opleidingsniveau verzorgpersoneel  https://t.co/uUxwYVCYEU
1343165758222819328 2020-12-27 20:04:06 +0800 <GrootKo> Inbrekers gefilmd bij klimpartij over schutting  https://t.co/eEFnWAGbnE
1343131827712749569 2020-12-27 17:49:16 +0800 <GrootKo> Schietincident Verenigde Staten: drie doden bij een bowlingbaan  https://t.co/GUZcCOdrG8
1343115678832852997 2020-12-27 16:45:06 +0800 <GrootKo> Verrassing! Verrassing! Elk smeltend stukje Groenland komt door … vulkanisch activiteit  https://t.co/eznIp5kOaL via @JDreport
1343115283662327808 2020-12-27 16:43:32 +0800 <GrootKo> Altijd in de slachtofferrol . . .  https://t.co/TJ8xZYpRSY via @EJBron2
1343098582493241344 2020-12-27 15:37:10 +0800 <GrootKo> Topjaar voor superrijken Jeff Bezos en Elon Musk👇  https://t.co/x2bRAqDuf1
1343091254607941632 2020-12-27 15:08:03 +0800 <GrootKo> NEXIT Denktank: Overzicht  https://t.co/KuMUXQPtRo
1343085224218005504 2020-12-27 14:44:05 +0800 <GrootKo> Zweden: Slechts 1 op de 10 Somaliërs werkt van degenen die sinds 2005 kwamen  https://t.co/rCDJ9wmlIU via @DissidentNL
1343079100093763586 2020-12-27 14:19:45 +0800 <GrootKo> @geertwilderspvv Goedemorgen Geert. Maak er een mooie zondag van.
1343068573904887808 2020-12-27 13:37:55 +0800 <GrootKo> Opnieuw autobrand en vuurwerk in Veen, 24 uur na ’dieptepunt’  https://t.co/ONdO7MOLvV via @Telegraaf
